filename,sum_used,total_used,duration,fail_count,offline_count,online_count,online_diff,kbm_delay,kbm_total
3054300.wav,46.57,100.81,102.17,0.00,90.00,1.00,1.00,108.00,91.00
3054340.wav,60.84,125.64,127.62,0.00,113.00,1.00,1.00,165.00,114.00
3055656.wav,42.18,96.86,98.50,0.00,84.00,0.00,0.00,99.00,84.00
3055877.wav,14.58,46.40,47.13,0.00,36.00,0.00,0.00,36.00,36.00
3056696.wav,123.27,187.86,190.17,0.00,146.00,32.00,41.00,314.00,178.00
3057402.wav,109.86,172.02,174.42,1.00,147.00,15.00,16.00,303.00,162.00
3057533.wav,62.22,113.72,115.78,0.00,100.00,3.00,3.00,157.00,103.00
3059028.wav,128.19,189.80,192.30,0.00,150.00,30.00,32.00,356.00,180.00
3059778.wav,274.27,344.18,347.14,36.00,189.00,146.00,272.00,892.00,335.00
3061701.wav,34.24,76.12,77.85,0.00,65.00,0.00,0.00,95.00,65.00
3063115.wav,83.09,139.44,141.61,0.00,120.00,9.00,8.00,205.00,129.00
3063531.wav,52.09,104.88,106.37,0.00,91.00,0.00,0.00,129.00,91.00
3065154.wav,53.84,108.82,110.76,0.00,98.00,0.00,0.00,131.00,98.00
3065261.wav,65.96,124.59,126.44,0.00,113.00,2.00,2.00,170.00,115.00
3065554.wav,37.65,86.99,88.81,0.00,77.00,0.00,0.00,94.00,77.00
3065812.wav,30.21,74.09,75.01,0.00,64.00,0.00,0.00,74.00,64.00
3065852.wav,174.92,254.67,257.90,2.00,203.00,43.00,57.00,515.00,246.00
3066003.wav,63.44,106.77,108.33,0.00,91.00,4.00,5.00,162.00,95.00
3066637.wav,152.08,200.02,202.24,7.00,120.00,70.00,128.00,422.00,190.00
3066806.wav,212.90,275.27,278.78,0.00,161.00,105.00,173.00,688.00,266.00
3068265.wav,50.57,91.98,93.61,0.00,77.00,3.00,5.00,129.00,80.00
3068326.wav,49.80,89.01,90.22,0.00,73.00,4.00,4.00,123.00,77.00
3068374.wav,129.02,181.00,183.25,1.00,123.00,48.00,66.00,364.00,171.00
3069261.wav,24.61,55.48,56.41,0.00,44.00,0.00,0.00,63.00,44.00
3069580.wav,60.77,102.87,104.58,0.00,84.00,8.00,10.00,150.00,92.00
3070649.wav,77.56,122.64,124.93,0.00,100.00,12.00,13.00,191.00,112.00
3072491.wav,120.69,171.17,173.61,0.00,118.00,43.00,56.00,340.00,161.00
3074123.wav,99.19,146.47,148.78,1.00,106.00,30.00,32.00,265.00,136.00
3074148.wav,52.98,95.94,97.49,0.00,79.00,6.00,6.00,128.00,85.00
3074311.wav,55.87,97.96,99.88,0.00,81.00,6.00,9.00,139.00,87.00
3075167.wav,98.85,164.22,166.10,0.00,151.00,3.00,5.00,243.00,154.00
3075568.wav,22.77,61.26,62.34,0.00,51.00,0.00,0.00,55.00,51.00
3075703.wav,16.14,49.38,50.50,0.00,38.00,0.00,0.00,45.00,38.00
3075779.wav,36.82,86.94,88.85,0.00,77.00,0.00,0.00,81.00,77.00
3076390.wav,31.16,79.09,80.04,0.00,67.00,0.00,0.00,81.00,67.00
3076509.wav,39.91,92.92,94.89,0.00,80.00,0.00,0.00,78.00,80.00
3076596.wav,74.68,138.46,140.42,0.00,128.00,1.00,1.00,186.00,129.00
3076725.wav,53.57,109.80,111.13,0.00,100.00,0.00,0.00,124.00,100.00
3076873.wav,53.46,112.78,114.45,0.00,102.00,0.00,0.00,128.00,102.00
3077449.wav,75.88,145.34,147.01,0.00,134.00,2.00,3.00,194.00,136.00
3078847.wav,108.47,179.95,182.85,0.00,159.00,12.00,15.00,289.00,171.00
3079932.wav,65.21,130.52,132.44,0.00,120.00,0.00,0.00,175.00,120.00
3085223.wav,28.64,73.09,74.60,0.00,62.00,0.00,0.00,70.00,62.00
3085830.wav,122.99,198.67,201.73,0.00,176.00,14.00,16.00,315.00,190.00
3088762.wav,46.45,101.80,103.30,0.00,91.00,0.00,0.00,120.00,91.00
3089086.wav,80.89,149.37,151.85,0.00,137.00,3.00,4.00,209.00,140.00
3089091.wav,91.41,158.24,160.13,1.00,144.00,5.00,5.00,240.00,149.00
3089926.wav,130.80,198.80,201.45,0.00,163.00,27.00,34.00,315.00,190.00
3105549.wav,63.27,128.65,130.58,0.00,117.00,1.00,1.00,165.00,118.00
3112041.wav,143.63,221.54,224.02,0.00,193.00,20.00,21.00,385.00,213.00
3113934.wav,47.18,101.88,103.77,0.00,90.00,0.00,0.00,109.00,90.00
3115740.wav,41.60,91.93,93.70,0.00,80.00,2.00,2.00,109.00,82.00
3119057.wav,50.64,96.06,97.49,0.00,84.00,1.00,1.00,132.00,85.00
3123523.wav,44.84,98.84,100.14,0.00,88.00,0.00,0.00,106.00,88.00
3124807.wav,160.22,239.21,242.22,0.00,182.00,46.00,54.00,428.00,228.00
